Namespace Id (1),Name,Description,Directory Namespace Id (2),XML Schema Namespace,Namespace Prefix (3),Logical Identifier   Prefix,Schema File Name Prefix (4),Governance Level,Registration   Authority,Steward Node Name,Steward Id,Steward Lead (6),Steward (Contact),Contact Email Address,Oversight  (5),Registration Date,Name of Provider,Dictionary Exists,Registered in PDS,Registration Date in PSA
rs,,Namespace for the Radio Science node's dictionary.,rs,http://pds.nasa.gov/pds4/rs/v1,rs,urn:nasa:pds:, ,Discipline,0001_NASA_PDS_1,Radio Science,rs,PDS RS Node,Richard Simpson,radiosci at att.net, ,2012-04-03,S. Hughes,,,
sbn    ,,Namespace for the Small Bodies node's dictionary.,sbn    ,http://pds.nasa.gov/pds4/sbn/v1,sbn    ,urn:nasa:pds:,PDS4_SBN,Discipline,0001_NASA_PDS_1,Small Bodies,sbn    ,PDS SBN,Anne Raugh,araugh at umd.edu, ,2012-04-03,S. Hughes,,,
wave,Wave,The Wave dictionary contains classes that describe the composition of multidimensional wave data consisting of Array (and Array subclass) data objects.,wave,http://pds.nasa.gov/pds4/wave/v1,wave,urn:nasa:pds:,PDS4_WAVE,Discipline,0001_NASA_PDS_1,Planetary Plasma Interactions,ppi,PDS PPI Node,Joseph Mafi,jmafi at igpp.ucla.edu, ,2015-04-24,T. King,Yes,Yes,
,,,,,,,,,,,,,,,,,,,,
(1) Namespace Id is defined in the PDS4 Information Model. It is a namespace container for a logical grouping of classes and attributes and is assigned by the steward. Namespace_Id is often mapped to the namespace prefix defined in XML documents.,,,,,,,,,,,,,,,,,,,,
"(2) The Namespace Id used to create a URL for a mission level dictionary requires the prefix ""mission"".",,,,,,,,,,,,,,,,,,,,
"(3) The default namespace and namespace prefix, in an XML Schema file, is null.",,,,,,,,,,,,,,,,,,,,
"(4) The Schema File Name Prefix typically has a suffix that includes the version number of the dictionary, for example PDS4_PDS_1400.",,,,,,,,,,,,,,,,,,,,
(5) The PDS Change Control Board (CCB) provides oversight by reviewing and approving all changes to the Common dictionary.,,,,,,,,,,,,,,,,,,,,
(6) The Steward Lead field indicates the lead entity within the stewardship group. This entity and the members of the group can change as needed. The steward_id should not change.,,,,,,,,,,,,,,,,,,,,
